,T,spd,pwr,g_1,g_2,g_3
433,892,1.6,6.5,2.8126,9900000000.0,9900000000.0
434,894,1.6,6.1,2.8177,9900000000.0,9900000000.0
435,896,1.6,6.5,2.8126,9900000000.0,9900000000.0
436,898,1.6,8.4,2.7952,9900000000.0,9900000000.0
437,900,1.6,6.1,2.7952,9900000000.0,9900000000.0
438,902,1.6,8.0,2.7952,9900000000.0,9900000000.0
439,904,1.6,7.0,2.7952,9900000000.0,9900000000.0
440,906,1.6,7.5,2.7952,9900000000.0,9900000000.0
441,908,1.6,7.0,2.7952,9900000000.0,9900000000.0
442,910,1.6,8.0,2.7785,9900000000.0,9900000000.0
443,912,1.6,6.5,2.7734,9900000000.0,9900000000.0
444,915,1.6,7.3,2.7785,9900000000.0,9900000000.0
445,917,1.6,6.1,2.7785,9900000000.0,9900000000.0
446,919,1.6,6.1,2.7785,9900000000.0,9900000000.0
447,921,1.6,8.7,2.761,9900000000.0,9900000000.0
448,923,1.6,8.0,2.761,9900000000.0,9900000000.0
